timestamp_utc,request_date,channel_name,channel_id,demo_message_link,message_id,user_request,language,bot_response,non_response_category,session_info
2026-01-01T00:54:38,2026-01-01,Developer Community,demo_001,demo://message/1,msg_0000001,"nice, thanks for sharing",en,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T05:04:49,2026-01-01,Product Help Forum,demo_002,demo://message/2,msg_0000002,good morning everyone,de,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T21:29:57,2026-01-01,Developer Community,demo_001,demo://message/3,msg_0000003,great explanation,en,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T03:24:40,2026-01-01,Developer Community,demo_001,demo://message/4,msg_0000004,appreciate the help,en,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T20:26:03,2026-01-01,Developer Community,demo_001,demo://message/5,msg_0000005,appreciate the help,de,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T08:01:33,2026-01-01,Integration Help Desk,demo_004,demo://message/6,msg_0000006,thanks for confirming,de,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T00:14:11,2026-01-01,API Support Chat,demo_003,demo://message/7,msg_0000007,interesting discussion,es,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T10:07:01,2026-01-01,API Support Chat,demo_003,demo://message/8,msg_0000008,interesting discussion,en,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T03:43:16,2026-01-01,API Support Chat,demo_003,demo://message/9,msg_0000009,good morning everyone,es,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T13:04:12,2026-01-01,Developer Community,demo_001,demo://message/10,msg_0000010,"cool, that makes sense",de,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T01:34:55,2026-01-01,API Support Chat,demo_003,demo://message/11,msg_0000011,thanks for confirming,de,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T13:46:55,2026-01-01,Developer Community,demo_001,demo://message/12,msg_0000012,good morning everyone,de,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T22:53:17,2026-01-01,API Support Chat,demo_003,demo://message/13,msg_0000013,"cool, that makes sense",de,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T02:31:56,2026-01-01,Product Help Forum,demo_002,demo://message/14,msg_0000014,"thanks, that helped",en,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T02:54:18,2026-01-01,API Support Chat,demo_003,demo://message/15,msg_0000015,appreciate the help,en,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T10:07:14,2026-01-01,Integration Help Desk,demo_004,demo://message/16,msg_0000016,thanks for confirming,en,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T13:28:40,2026-01-01,Product Help Forum,demo_002,demo://message/17,msg_0000017,"cool, that makes sense",en,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T23:35:39,2026-01-01,API Support Chat,demo_003,demo://message/18,msg_0000018,good morning everyone,de,[Non-Response Category: small_talk],small_talk,{}
2026-01-01T19:26:50,2026-01-01,Product Help Forum,demo_002,demo://message/19,msg_0000019,the integration fails after deployment,en,[Non-Response Category: statement],statement,{}
2026-01-01T13:48:55,2026-01-01,Integration Help Desk,demo_004,demo://message/20,msg_0000020,the SDK returns an empty response,de,[Non-Response Category: statement],statement,{}
2026-01-01T11:48:24,2026-01-01,Product Help Forum,demo_002,demo://message/21,msg_0000021,the webhook is still failing after the update,en,[Non-Response Category: statement],statement,{}
2026-01-01T11:29:07,2026-01-01,Developer Community,demo_001,demo://message/22,msg_0000022,the bot does not recognize this command,en,[Non-Response Category: statement],statement,{}
2026-01-01T07:40:53,2026-01-01,Developer Community,demo_001,demo://message/23,msg_0000023,the maintenance window starts at 18:00 UTC,en,[Non-Response Category: statement],statement,{}
2026-01-01T23:51:49,2026-01-01,Product Help Forum,demo_002,demo://message/24,msg_0000024,the endpoint works locally but fails in production,es,[Non-Response Category: statement],statement,{}
2026-01-01T05:12:06,2026-01-01,Integration Help Desk,demo_004,demo://message/25,msg_0000025,the SDK returns an empty response,en,[Non-Response Category: statement],statement,{}
2026-01-01T20:26:19,2026-01-01,Product Help Forum,demo_002,demo://message/26,msg_0000026,v2 with bug fixes will be available today,en,[Non-Response Category: statement],statement,{}
2026-01-01T21:14:44,2026-01-01,Integration Help Desk,demo_004,demo://message/27,msg_0000027,the bot does not recognize this command,en,[Non-Response Category: statement],statement,{}
2026-01-01T05:02:11,2026-01-01,Product Help Forum,demo_002,demo://message/28,msg_0000028,v2 with bug fixes will be available today,es,[Non-Response Category: statement],statement,{}
2026-01-01T01:42:55,2026-01-01,Developer Community,demo_001,demo://message/29,msg_0000029,my dashboard stopped refreshing,en,[Non-Response Category: statement],statement,{}
2026-01-01T15:22:13,2026-01-01,Product Help Forum,demo_002,demo://message/30,msg_0000030,the maintenance window starts at 18:00 UTC,en,[Non-Response Category: statement],statement,{}
2026-01-01T13:53:39,2026-01-01,Integration Help Desk,demo_004,demo://message/31,msg_0000031,the maintenance window starts at 18:00 UTC,es,[Non-Response Category: statement],statement,{}
2026-01-01T20:08:32,2026-01-01,API Support Chat,demo_003,demo://message/32,msg_0000032,the webhook is still failing after the update,en,[Non-Response Category: statement],statement,{}
2026-01-01T23:20:12,2026-01-01,API Support Chat,demo_003,demo://message/33,msg_0000033,the retry behavior is different now,en,[Non-Response Category: statement],statement,{}
2026-01-01T15:49:45,2026-01-01,API Support Chat,demo_003,demo://message/34,msg_0000034,the API response changed today,es,[Non-Response Category: statement],statement,{}
2026-01-01T09:35:22,2026-01-01,Developer Community,demo_001,demo://message/35,msg_0000035,v2 with bug fixes will be available today,en,[Non-Response Category: statement],statement,{}
2026-01-01T22:45:59,2026-01-01,Developer Community,demo_001,demo://message/36,msg_0000036,the SDK returns an empty response,de,[Non-Response Category: statement],statement,{}
2026-01-01T05:33:52,2026-01-01,Product Help Forum,demo_002,demo://message/37,msg_0000037,the retry behavior is different now,en,[Non-Response Category: statement],statement,{}
2026-01-01T21:48:24,2026-01-01,Developer Community,demo_001,demo://message/38,msg_0000038,the retry behavior is different now,es,[Non-Response Category: statement],statement,{}
2026-01-01T04:04:22,2026-01-01,Developer Community,demo_001,demo://message/39,msg_0000039,the retry behavior is different now,en,[Non-Response Category: statement],statement,{}
2026-01-01T02:06:32,2026-01-01,Product Help Forum,demo_002,demo://message/40,msg_0000040,the integration fails after deployment,de,[Non-Response Category: statement],statement,{}
2026-01-01T03:07:06,2026-01-01,Developer Community,demo_001,demo://message/41,msg_0000041,the endpoint works locally but fails in production,en,[Non-Response Category: statement],statement,{}
2026-01-01T04:40:28,2026-01-01,Product Help Forum,demo_002,demo://message/42,msg_0000042,the new docs page was published,es,[Non-Response Category: statement],statement,{}
2026-01-01T09:39:01,2026-01-01,Product Help Forum,demo_002,demo://message/43,msg_0000043,v2 with bug fixes will be available today,de,[Non-Response Category: statement],statement,{}
2026-01-01T07:42:40,2026-01-01,Integration Help Desk,demo_004,demo://message/44,msg_0000044,v2 with bug fixes will be available today,en,[Non-Response Category: statement],statement,{}
2026-01-01T14:31:36,2026-01-01,API Support Chat,demo_003,demo://message/45,msg_0000045,the new docs page was published,en,[Non-Response Category: statement],statement,{}
2026-01-01T18:50:39,2026-01-01,Integration Help Desk,demo_004,demo://message/46,msg_0000046,the endpoint works locally but fails in production,en,[Non-Response Category: statement],statement,{}
2026-01-01T08:10:51,2026-01-01,Product Help Forum,demo_002,demo://message/47,msg_0000047,my dashboard stopped refreshing,en,[Non-Response Category: statement],statement,{}
2026-01-01T21:25:10,2026-01-01,Developer Community,demo_001,demo://message/48,msg_0000048,v2 with bug fixes will be available today,en,[Non-Response Category: statement],statement,{}
2026-01-01T00:15:42,2026-01-01,Product Help Forum,demo_002,demo://message/49,msg_0000049,my dashboard stopped refreshing,en,[Non-Response Category: statement],statement,{}
2026-01-01T02:27:14,2026-01-01,Product Help Forum,demo_002,demo://message/50,msg_0000050,the webhook is still failing after the update,en,[Non-Response Category: statement],statement,{}
2026-01-01T18:43:11,2026-01-01,Developer Community,demo_001,demo://message/51,msg_0000051,the integration fails after deployment,en,[Non-Response Category: statement],statement,{}
2026-01-01T07:48:00,2026-01-01,Integration Help Desk,demo_004,demo://message/52,msg_0000052,v2 with bug fixes will be available today,en,[Non-Response Category: statement],statement,{}
2026-01-01T08:50:50,2026-01-01,Integration Help Desk,demo_004,demo://message/53,msg_0000053,the endpoint works locally but fails in production,es,[Non-Response Category: statement],statement,{}
2026-01-01T03:26:03,2026-01-01,Product Help Forum,demo_002,demo://message/54,msg_0000054,same issue here,es,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T15:25:19,2026-01-01,API Support Chat,demo_003,demo://message/55,msg_0000055,this keeps failing,es,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T23:47:29,2026-01-01,Developer Community,demo_001,demo://message/56,msg_0000056,same issue here,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T12:21:13,2026-01-01,Integration Help Desk,demo_004,demo://message/57,msg_0000057,same issue here,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T06:55:31,2026-01-01,Product Help Forum,demo_002,demo://message/58,msg_0000058,I am stuck here,es,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T15:21:36,2026-01-01,Product Help Forum,demo_002,demo://message/59,msg_0000059,can someone help with this,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T09:05:42,2026-01-01,Integration Help Desk,demo_004,demo://message/60,msg_0000060,same issue here,es,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T01:50:30,2026-01-01,Developer Community,demo_001,demo://message/61,msg_0000061,I am stuck here,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T08:36:22,2026-01-01,Developer Community,demo_001,demo://message/62,msg_0000062,can someone help with this,es,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T17:31:32,2026-01-01,Integration Help Desk,demo_004,demo://message/63,msg_0000063,still broken,es,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T05:59:39,2026-01-01,Developer Community,demo_001,demo://message/64,msg_0000064,this keeps failing,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T09:39:20,2026-01-01,Integration Help Desk,demo_004,demo://message/65,msg_0000065,not sure what to do next,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T20:14:05,2026-01-01,Integration Help Desk,demo_004,demo://message/66,msg_0000066,not sure what to do next,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T10:48:10,2026-01-01,Product Help Forum,demo_002,demo://message/67,msg_0000067,still broken,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T11:25:04,2026-01-01,Developer Community,demo_001,demo://message/68,msg_0000068,it does not work,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T18:18:29,2026-01-01,Integration Help Desk,demo_004,demo://message/69,msg_0000069,I am stuck here,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T18:29:22,2026-01-01,Developer Community,demo_001,demo://message/70,msg_0000070,same issue here,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T21:39:52,2026-01-01,Developer Community,demo_001,demo://message/71,msg_0000071,same issue here,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T04:21:53,2026-01-01,Integration Help Desk,demo_004,demo://message/72,msg_0000072,how do I fix this,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T22:33:03,2026-01-01,Developer Community,demo_001,demo://message/73,msg_0000073,same issue here,es,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T09:29:39,2026-01-01,API Support Chat,demo_003,demo://message/74,msg_0000074,still broken,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T09:40:14,2026-01-01,Product Help Forum,demo_002,demo://message/75,msg_0000075,this keeps failing,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T16:38:49,2026-01-01,API Support Chat,demo_003,demo://message/76,msg_0000076,any update on this,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T16:41:08,2026-01-01,Developer Community,demo_001,demo://message/77,msg_0000077,how do I fix this,de,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T02:40:02,2026-01-01,Developer Community,demo_001,demo://message/78,msg_0000078,I am stuck here,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T04:49:21,2026-01-01,API Support Chat,demo_003,demo://message/79,msg_0000079,any update on this,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T13:27:14,2026-01-01,Product Help Forum,demo_002,demo://message/80,msg_0000080,why is this happening,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T19:46:40,2026-01-01,Integration Help Desk,demo_004,demo://message/81,msg_0000081,why is this happening,de,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T20:11:32,2026-01-01,Developer Community,demo_001,demo://message/82,msg_0000082,why is this happening,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T09:37:44,2026-01-01,Product Help Forum,demo_002,demo://message/83,msg_0000083,same issue here,en,[Non-Response Category: unclear_request],unclear_request,{}
2026-01-01T09:54:57,2026-01-01,Product Help Forum,demo_002,demo://message/84,msg_0000084,why is this happening,de,[Non-Response Category: unclear_request],unclear_request,{}
